#parameters,attention_heads,hidden_size,number_of_layers,tensor_model_size,pipeline_model_size,#gpus,batch_size,achieved_teraFLOPs_per_gpu,%_of_theoretical_peak,achieved_agg_petaFLOPs,data_model_size,batch_gpu,%_peak,experts,P_sparse,P_dense,est_gpu_dpmoe,est_gpu_deepspeed,X_sparse,est_pipe_size,est_tensor_size,est_gpu_dense,X_dense_FLOPs,X_dense,%_dense_peak
1.7,24,2304,24,1,1,32,512,137,0.44,4.4,32,16.0,0.4391025641025641,64,33695824896.0,1652226048.0,346.0,43.0,153.4,1,1,39.0,136.49944689819327,72625.0,0.43749822723779896
3.6,32,3072,30,2,1,64,512,138,0.44,8.8,32,8.0,0.4423076923076923,64,74824885248.0,3562162175.9999995,767.0,96.0,293.32,1,2,64.0,138.84095389259946,153938.0,0.44500305734807516
7.5,32,4096,36,4,1,128,512,142,0.46,18.2,32,4.0,0.4551282051282051,64,159560671232.0,7467778047.999999,1637.0,205.0,581.08,1,4,116.0,141.6255924758813,316374.0,0.45392818101244004
18.4,48,6144,40,8,1,256,1024,135,0.43,34.6,32,4.0,0.4326923076923077,64,398791827456.0,18449743872.0,4090.0,511.0,1388.92,1,8,264.0,135.03400575646722,819782.0,0.4328013005014975
39.1,64,8192,48,8,2,512,1536,138,0.44,70.8,32,3.0,0.4423076923076923,64,850624184320.0,39096025088.00001,8724.0,1091.0,2920.1200000000003,3,8,624.0,137.7658144094984,1702716.0,0.44155709746634103
76.1,80,10240,60,8,4,1024,1792,140,0.45,143.8,32,1.75,0.44871794871794873,64,1661221007360.0,76050718720.0,17038.0,2130.0,5663.08,4,8,832.0,140.65170434679774,3244214.0,0.4508067447012748
145.6,96,12288,80,8,8,1536,2304,148,0.47,227.1,24,1.5,0.47435897435897434,64,3189346762752.0,145622237184.0,32711.0,4089.0,10834.84,8,8,1216.0,145.6695286591973,5998052.0,0.4668895149333247
310.1,128,16384,96,8,16,1920,2160,155,0.5,297.4,15,1.125,0.4967948717948718,64,6803674628096.0,310130507776.0,69781.0,8723.0,23068.600000000002,17,8,1904.0,155.37728538536672,11975901.0,0.49800411982489334
529.6,128,20480,105,8,35,2520,2520,163,0.52,410.2,9,1.0,0.5224358974358975,64,11627169925120.0,529600778239.99994,119253.0,14907.0,39394.36,28,8,2688.0,163.60719623974336,19422157.0,0.5243820392299466
1008.0,160,25600,128,8,64,3072,3072,163,0.52,502.0,6,1.0,0.5224358974358975,64,22146627993600.0,1008038707200.0001,227145.0,28393.0,74997.40000000001,53,8,2968.0,162.84160242362336,37141812.0,0.5219282128962287
